id,visitors
air_00a91d42b08b08d9_2017-04-23,1.882
air_00a91d42b08b08d9_2017-04-24,18.788
air_00a91d42b08b08d9_2017-04-25,25.232
air_00a91d42b08b08d9_2017-04-26,28.416
air_00a91d42b08b08d9_2017-04-27,30.946
air_00a91d42b08b08d9_2017-04-28,37.378
air_00a91d42b08b08d9_2017-04-29,14.642
air_00a91d42b08b08d9_2017-04-30,2.107
air_00a91d42b08b08d9_2017-05-01,17.801
air_00a91d42b08b08d9_2017-05-02,25.761
air_00a91d42b08b08d9_2017-05-03,27.753
air_00a91d42b08b08d9_2017-05-04,26.904
air_00a91d42b08b08d9_2017-05-05,30.865
air_00a91d42b08b08d9_2017-05-06,10.761
air_00a91d42b08b08d9_2017-05-07,2.072
air_00a91d42b08b08d9_2017-05-08,19.248
air_00a91d42b08b08d9_2017-05-09,22.141
air_00a91d42b08b08d9_2017-05-10,27.303
air_00a91d42b08b08d9_2017-05-11,28.816
air_00a91d42b08b08d9_2017-05-12,36.093
air_00a91d42b08b08d9_2017-05-13,11.403
air_00a91d42b08b08d9_2017-05-14,1.976
air_00a91d42b08b08d9_2017-05-15,18.421
air_00a91d42b08b08d9_2017-05-16,22.617
air_00a91d42b08b08d9_2017-05-17,26.978
air_00a91d42b08b08d9_2017-05-18,29.004
air_00a91d42b08b08d9_2017-05-19,35.877
air_00a91d42b08b08d9_2017-05-20,11.504
air_00a91d42b08b08d9_2017-05-21,2.009
air_00a91d42b08b08d9_2017-05-22,18.138
air_00a91d42b08b08d9_2017-05-23,21.165
air_00a91d42b08b08d9_2017-05-24,25.099
air_00a91d42b08b08d9_2017-05-25,27.545
air_00a91d42b08b08d9_2017-05-26,32.694
air_00a91d42b08b08d9_2017-05-27,11.006
air_00a91d42b08b08d9_2017-05-28,2.069
air_00a91d42b08b08d9_2017-05-29,18.605
air_00a91d42b08b08d9_2017-05-30,19.827
air_00a91d42b08b08d9_2017-05-31,27.964
air_0164b9927d20bcc3_2017-04-23,1.178
air_0164b9927d20bcc3_2017-04-24,5.862
air_0164b9927d20bcc3_2017-04-25,7.365
air_0164b9927d20bcc3_2017-04-26,7.855
