id,visitors
air_00a91d42b08b08d9_2017-04-23,2.098
air_00a91d42b08b08d9_2017-04-24,19.244
air_00a91d42b08b08d9_2017-04-25,24.245
air_00a91d42b08b08d9_2017-04-26,28.357
air_00a91d42b08b08d9_2017-04-27,30.255
air_00a91d42b08b08d9_2017-04-28,37.003
air_00a91d42b08b08d9_2017-04-29,13.854
air_00a91d42b08b08d9_2017-04-30,2.091
air_00a91d42b08b08d9_2017-05-01,17.421
air_00a91d42b08b08d9_2017-05-02,26.018
air_00a91d42b08b08d9_2017-05-03,26.192
air_00a91d42b08b08d9_2017-05-04,26.510
air_00a91d42b08b08d9_2017-05-05,32.244
air_00a91d42b08b08d9_2017-05-06,10.875
air_00a91d42b08b08d9_2017-05-07,1.887
air_00a91d42b08b08d9_2017-05-08,19.473
air_00a91d42b08b08d9_2017-05-09,23.333
air_00a91d42b08b08d9_2017-05-10,27.753
air_00a91d42b08b08d9_2017-05-11,29.515
air_00a91d42b08b08d9_2017-05-12,36.556
air_00a91d42b08b08d9_2017-05-13,11.521
air_00a91d42b08b08d9_2017-05-14,2.038
air_00a91d42b08b08d9_2017-05-15,19.135
air_00a91d42b08b08d9_2017-05-16,23.270
air_00a91d42b08b08d9_2017-05-17,27.431
air_00a91d42b08b08d9_2017-05-18,29.303
air_00a91d42b08b08d9_2017-05-19,36.145
air_00a91d42b08b08d9_2017-05-20,11.411
air_00a91d42b08b08d9_2017-05-21,2.149
air_00a91d42b08b08d9_2017-05-22,18.951
air_00a91d42b08b08d9_2017-05-23,22.296
air_00a91d42b08b08d9_2017-05-24,26.763
air_00a91d42b08b08d9_2017-05-25,28.568
air_00a91d42b08b08d9_2017-05-26,34.748
air_00a91d42b08b08d9_2017-05-27,11.081
air_00a91d42b08b08d9_2017-05-28,1.957
air_00a91d42b08b08d9_2017-05-29,19.113
air_00a91d42b08b08d9_2017-05-30,23.132
air_00a91d42b08b08d9_2017-05-31,31.159
air_0164b9927d20bcc3_2017-04-23,1.564
air_0164b9927d20bcc3_2017-04-24,5.721
air_0164b9927d20bcc3_2017-04-25,7.835
